id,participant_id,participant_no,condition_id,condition_type,task_order,task_type,survey_number,perceived_compliance_1,perceived_compliance_2,perceived_compliance_3,perceived_compliance_4,perceived_conversion_1,perceived_conversion_2,perceived_conversion_3,perceived_conversion_4,concentration_test,agent_competence,agent_predictability,agent_integrity,agent_understanding,agent_utility,agent_affect,agent_trust,agent1_competence,agent1_predictability,agent1_integrity,agent1_understanding,agent1_utility,agent1_affect,agent1_trust,agent3_competence,agent3_predictability,agent3_integrity,agent3_understanding,agent3_utility,agent3_affect,agent3_trust,created_at
41645b76-a44d-4023-bf1e-4329f0b0a958,e1941179-3705-4639-b6ce-ec82c3a00c66,65,65.0,minority,informativeFirst,informative,1,4,4,1,1,5,4,4,5,4,,,,,,,,6.0,6.0,7.0,7.0,6.0,7.0,5.0,5.0,7.0,3.0,1.0,3.0,2.0,3.0,2025-09-09 17:50:47.972284+00:00
ce3da8b2-e2ce-44b7-93f1-cd35ad47125b,e1941179-3705-4639-b6ce-ec82c3a00c66,65,65.0,minority,informativeFirst,normative,2,5,2,2,1,4,6,5,5,4,,,,,,,,6.0,7.0,6.0,6.0,6.0,7.0,5.0,2.0,7.0,3.0,2.0,2.0,2.0,2.0,2025-09-09 18:05:50.802004+00:00
f7edfe21-681e-4e1f-b712-b7e6294e0037,dcd1ed62-d5a6-4302-a597-724e85fa3a91,66,66.0,minorityDiffusion,normativeFirst,informative,2,5,2,2,2,5,6,5,5,4,,,,,,,,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,2025-09-09 17:42:37.968969+00:00
ad6f7702-da34-4762-b9fb-634e75a93174,dcd1ed62-d5a6-4302-a597-724e85fa3a91,66,66.0,minorityDiffusion,normativeFirst,normative,1,2,2,2,2,2,6,6,6,4,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,2025-09-09 17:35:10.228578+00:00
232338c8-c501-4b52-86fd-ab8e8c781aa8,9d0abbe5-a06d-4ded-ad7b-5ee1139b84c9,67,67.0,majority,informativeFirst,informative,1,4,1,1,1,3,5,5,5,4,4.0,5.0,4.0,7.0,5.0,5.0,6.0,,,,,,,,,,,,,,,2025-09-09 18:11:26.077533+00:00
b70c9c3e-cf00-4cce-8db2-55ea225888d5,9d0abbe5-a06d-4ded-ad7b-5ee1139b84c9,67,67.0,majority,informativeFirst,normative,2,7,1,1,1,2,7,6,7,4,5.0,3.0,4.0,5.0,5.0,4.0,5.0,,,,,,,,,,,,,,,2025-09-09 18:27:47.912592+00:00
d72987d1-8b9a-4cd3-baba-35aaa89a5a8f,7bbeecf7-33a6-4f95-b1f7-1b17b79f0b72,68,68.0,minority,normativeFirst,informative,2,1,1,1,1,2,7,6,7,4,,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2025-09-09 17:50:41.646014+00:00
8a4c477b-a824-4065-8245-f5b7cd8394ed,7bbeecf7-33a6-4f95-b1f7-1b17b79f0b72,68,68.0,minority,normativeFirst,normative,1,3,1,1,1,2,7,5,5,4,,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2025-09-09 17:41:00.831274+00:00
444834e6-c127-4bbd-85e9-6b3cc0d20570,a06d8bf2-816c-48a8-b4fe-03c79b290a30,69,69.0,minorityDiffusion,informativeFirst,informative,1,3,3,1,3,6,6,6,4,4,,,,,,,,6.0,3.0,5.0,6.0,5.0,5.0,4.0,4.0,2.0,5.0,6.0,5.0,5.0,5.0,2025-09-09 17:39:21.761095+00:00
edd3561c-6385-434b-88e4-210551da0d74,a06d8bf2-816c-48a8-b4fe-03c79b290a30,69,69.0,minorityDiffusion,informativeFirst,normative,2,2,1,1,1,5,7,7,7,4,,,,,,,,6.0,3.0,6.0,6.0,5.0,5.0,4.0,5.0,6.0,4.0,5.0,4.0,5.0,4.0,2025-09-09 17:49:55.102016+00:00
44d2db68-ab05-41cd-9101-598fdc559da5,ab008076-6538-4925-beb0-9c2ac8259d81,70,70.0,majority,normativeFirst,informative,2,6,2,1,2,5,5,4,4,4,5.0,6.0,6.0,5.0,6.0,4.0,4.0,,,,,,,,,,,,,,,2025-09-09 17:48:46.966578+00:00
f823965d-e47e-47f5-9ce9-dafb3253812c,ab008076-6538-4925-beb0-9c2ac8259d81,70,70.0,majority,normativeFirst,normative,1,1,1,1,1,2,7,6,6,4,4.0,5.0,5.0,4.0,3.0,3.0,3.0,,,,,,,,,,,,,,,2025-09-09 17:39:48.707510+00:00
ea0467a4-2d7e-48c5-9562-d78aa125b8e9,9b21942f-17c3-4406-b78e-79d5b9a591bf,71,71.0,minority,informativeFirst,informative,1,5,3,2,3,5,5,5,5,4,,,,,,,,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,5.0,6.0,7.0,7.0,6.0,6.0,2025-09-09 18:06:47.698532+00:00
1c0a7262-01ed-425f-9243-ec536c001722,9b21942f-17c3-4406-b78e-79d5b9a591bf,71,71.0,minority,informativeFirst,normative,2,2,2,1,2,3,6,4,6,4,,,,,,,,7.0,7.0,6.0,7.0,6.0,7.0,6.0,5.0,6.0,7.0,5.0,6.0,6.0,6.0,2025-09-09 18:18:54.380887+00:00
