Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68c03eceba9ee5fe328e733d,6600a119385d8631c41cd795,APPROVED,Not Applicable,2025-09-09T14:51:13Z,2025-09-09T15:48:32.985000Z,2025-09-09T15:48:33.516000Z,2025-09-09T15:48:33.391047Z,3440.0,CBUP19R5,4900,"English, Spanish",36,Male,White,United States,United States,United States,English,No,Full-Time
68c03ee6648053a1c89337af,678b09ceb478d5c669bb0355,APPROVED,Not Applicable,2025-09-09T14:51:31.834000Z,2025-09-09T15:46:46.917000Z,2025-09-09T15:46:49.911000Z,2025-09-09T15:46:47.334673Z,3316.0,CBUP19R5,1390,English,70,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68c03eeb118937099b8ff4b0,60fcf85e1c7ddbf1ac4b1d02,APPROVED,Not Applicable,2025-09-09T14:51:29.159000Z,2025-09-09T15:23:26.417000Z,2025-09-09T15:23:26.897000Z,2025-09-09T15:23:26.802278Z,1918.0,CBUP19R5,166,English,26,Female,Mixed,United States,United States,United States,English,No,DATA_EXPIRED
68c03f0c6f4909c39374f19e,6658c4239af9537eefdfbcc9,APPROVED,Not Applicable,2025-09-09T14:52:05.724000Z,2025-09-09T15:16:57.381000Z,2025-09-09T15:16:57.894000Z,2025-09-09T15:16:57.789559Z,1492.0,CBUP19R5,2765,English,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
68c03f8afa9e1d4741543f09,5c4f5967aac8be0001716a65,APPROVED,Not Applicable,2025-09-09T14:54:03.651000Z,2025-09-09T15:19:42.717000Z,2025-09-09T15:19:43.335000Z,2025-09-09T15:19:43.237128Z,1540.0,CBUP19R5,7481,English,34,Male,White,Ireland,United Kingdom,Ireland,English,Yes,Full-Time
68c04025d24916464fd5ceeb,5d61a6ec798d980001f9d5e1,APPROVED,Not Applicable,2025-09-09T14:58:16.180000Z,2025-09-09T15:48:21.907000Z,2025-09-09T15:48:22.456000Z,2025-09-09T15:48:22.371641Z,3006.0,CBUP19R5,1606,English,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Other
68c0408548dec87ccb0fd42f,677401d939f129f94d412a63,APPROVED,Not Applicable,2025-09-09T15:00:32.861000Z,2025-09-09T15:23:46.066000Z,2025-09-09T15:23:46.565000Z,2025-09-09T15:23:46.466914Z,1394.0,CBUP19R5,554,English,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
68c0410c6b51dd7f8f6e377f,607778a26ff3de83125f50c5,RETURNED,Not Applicable,2025-09-09T15:00:32.571000Z,,,2025-09-09T16:45:21.024399Z,,,5169,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68c042657b0883f502c93bf3,58cd0bc2a47dbb000171dc8b,APPROVED,Not Applicable,2025-09-09T15:06:35.143000Z,2025-09-09T15:47:14.050000Z,2025-09-09T15:47:14.563000Z,2025-09-09T15:47:14.425675Z,2439.0,CBUP19R5,2278,English,61,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
68c042b03d45c44f6da32ab1,5a1bee01a383a100011b6274,APPROVED,Not Applicable,2025-09-09T15:07:34.276000Z,2025-09-09T15:38:04.706000Z,2025-09-09T15:38:05.162000Z,2025-09-09T15:38:05.075527Z,1831.0,CBUP19R5,2346,English,64,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
68c043ee83a7a73090279dfe,650b03136ab3d4c832d98b71,APPROVED,Not Applicable,2025-09-09T15:13:02.808000Z,2025-09-09T15:51:41.329000Z,2025-09-09T15:51:42.802000Z,2025-09-09T15:51:41.810940Z,2319.0,CBUP19R5,8783,"Hebrew, English, Russian",31,Male,Other,Israel,United States,United States,Hebrew,No,Part-Time
68c044de9b9b338b3e0ba863,5f480ae988eb7429641eae29,RETURNED,Not Applicable,2025-09-09T15:17:03.866000Z,,,2025-09-09T16:45:21.001810Z,,,1244,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68c04999ed84d6da142f2f48,676ca3da9773676ad989ef10,APPROVED,Not Applicable,2025-09-09T15:37:13.612000Z,2025-09-09T16:03:36.758000Z,2025-09-09T16:03:37.493000Z,2025-09-09T16:03:37.376211Z,1584.0,CBUP19R5,4774,English,56,Male,White,United States,United States,United States,English,No,Full-Time
